,first_call_elapsed,fallback_elapsed,total_api_call,fallback,fallback_Groundedness,fallback_Relevance,fallback_Structure,fallback_Hallucinations,direct_Groundedness,direct_Relevance,direct_Structure,direct_Hallucinations,complexity,subject
0,9.155460834503174,37.825868368148804,11,IRCoT,5,5,4,5,5,5,4,5,Single-hop,A_robust_governance_for_the_AI_Act
1,6.9642205238342285,24.06514596939087,9,IRCoT,2,2,3,5,5,5,4,5,Multi-hop,A_robust_governance_for_the_AI_Act
2,4.5856921672821045,23.16831398010254,11,IRCoT,5,5,4,5,5,5,5,5,Single-hop,AI Act
3,7.370064973831177,37.63563394546509,13,IRCoT,5,4,4,5,5,5,5,5,Single-hop,AI Act
4,4.511064291000366,31.13456416130066,13,IRCoT,5,5,5,5,5,5,4,5,Single-hop,AI Act
5,7.375720500946045,31.171191692352295,11,IRCoT,5,5,4,5,1,1,1,5,Two-hop,AI Act and GDPR
6,6.755670547485352,26.490176916122437,11,IRCoT,3,3,4,1,1,1,1,5,Scenario-driven,AI Act and GDPR
7,4.437926769256592,29.189361333847046,13,IRCoT,5,5,4,0,5,5,5,5,Single-hop,AI Act
8,6.754112958908081,26.191251754760742,11,IRCoT,1,1,5,5,1,1,1,5,Two-hop,AI Act and GDPR
9,4.416498184204102,21.300841569900513,11,IRCoT,1,1,1,5,1,1,1,1,Scenario-driven,AI Act and GDPR
10,4.272557497024536,20.78374409675598,11,IRCoT,5,2,4,5,1,1,1,5,Single-hop,AI Act
11,6.451359748840332,25.507227659225464,11,IRCoT,3,3,4,5,1,1,1,5,Two-hop,AI Act and GDPR
12,7.011271238327026,32.43041396141052,13,IRCoT,4,3,3,5,1,1,1,5,Scenario-driven,AI Act and GDPR
13,6.450589418411255,24.816916704177856,11,IRCoT,4,5,4,5,1,1,1,5,Single-hop,AI Act and GDPR
14,6.122766971588135,27.01715111732483,11,IRCoT,2,2,3,5,1,1,1,5,Two-hop,AI Act and GDPR
15,6.90238618850708,19.31147003173828,9,IRCoT,4,4,4,0,1,1,3,0,Scenario-driven,AI Act and GDPR
16,5.733274936676025,20.774202585220337,9,IRCoT,4,5,4,0,5,5,5,5,Single-hop,AI Act
17,5.09489107131958,28.555480003356934,11,IRCoT,2,1,3,1,5,5,5,5,Single-hop,AI Act
18,4.727085113525391,25.313694715499878,11,IRCoT,4,2,5,5,1,1,1,5,Two-hop,AI Act
19,7.891115665435791,41.48066067695618,11,IRCoT,3,3,4,5,1,1,1,5,Two-hop,AI Act
20,5.340291261672974,33.494088649749756,11,IRCoT,5,5,5,5,5,5,4,5,Scenario-driven,AI Act
21,5.258462190628052,19.371881246566772,11,IRCoT,5,5,5,5,5,5,4,5,Single-hop,AI Act
22,3.5486385822296143,17.1919584274292,11,IRCoT,3,4,4,5,5,5,5,5,Two-hop,AI Act
23,3.723334789276123,17.7582745552063,11,IRCoT,1,1,1,5,5,5,5,5,Scenario-driven,AI Act
24,8.136449098587036,24.314063787460327,11,IRCoT,3,4,3,5,5,5,5,5,Single-hop,GDPR
25,4.5574681758880615,22.22811722755432,11,IRCoT,5,5,5,5,5,5,4,5,Single-hop,GDPR
26,5.8476808071136475,29.491883277893066,13,IRCoT,5,5,4,5,5,5,4,5,Single-hop,GDPR
27,4.343317031860352,22.39595890045166,11,IRCoT,5,5,4,5,3,3,3,5,Single-hop,GDPR
28,4.517022132873535,19.45875310897827,11,IRCoT,5,5,4,5,5,5,5,5,Single-hop,GDPR
29,4.20520544052124,18.637722969055176,11,IRCoT,1,1,3,5,5,5,5,5,Single-hop,GDPR
30,4.823734760284424,16.20482635498047,9,IRCoT,5,5,5,5,3,2,4,5,Single-hop,A_robust_governance_for_the_AI_Act
31,6.793573379516602,25.63895320892334,9,IRCoT,5,5,5,5,5,5,5,5,Single-hop,A_robust_governance_for_the_AI_Act
32,7.476060152053833,32.97302842140198,11,IRCoT,5,5,5,5,5,5,5,5,Multi-hop,A_robust_governance_for_the_AI_Act
33,6.401098251342773,31.2555730342865,11,IRCoT,5,5,4,5,5,5,4,5,Single-hop,A_robust_governance_for_the_AI_Act
34,6.962301015853882,25.30458092689514,9,IRCoT,5,5,4,5,5,5,5,5,Single-hop,A_robust_governance_for_the_AI_Act
